"N","miss_rate","n_pairs","AIC_adhoc__bias","AIC_adhoc__rmse","AIC_adhoc__sgn","AICcd__bias","AICcd__rmse","AICcd__sgn","MI_AIC_add__bias","MI_AIC_add__rmse","MI_AIC_add__sgn","MI_AIC_sub__bias","MI_AIC_sub__rmse","MI_AIC_sub__sgn","MI_AIC_nocor__bias","MI_AIC_nocor__rmse","MI_AIC_nocor__sgn"
100,0.1,21131,-0.0468807416388338,1.12037712544285,97.3072736737495,-0.0486922346053271,1.35089929125785,97.0706544886659,0.195623279466472,16.8769222786115,96.9239505939142,0.197434772432966,16.7949449928726,97.0848516397709,0.196529025949719,16.8314305316679,97.0233306516492
100,0.25,20977,-0.053393949757347,1.81938487253968,95.4521618915956,-0.0705972504950335,2.24096863499052,95.2138055966058,-0.131750550958854,10.0700050297404,94.8038327692234,-0.11454725022118,9.89004876940507,94.7609286361253,-0.123148900590017,9.96000353640222,94.9373122944177
100,0.4,21076,-0.111110559243119,2.32168558758052,93.9979123173278,-0.138386293139107,2.808211285589,93.6468020497248,-0.232973618880847,10.3745581439403,92.9445815145189,-0.205697884984856,10.1252930205568,92.8781552476751,-0.219335751932852,10.2229460630063,93.1818181818182
250,0.1,21692,-0.0233922546336765,1.59181958478868,98.1513922183293,-0.0235687686733767,1.60789312158863,98.1513922183293,0.0110379030697394,2.80081182105029,98.1652222017334,0.0112144171094381,2.8010222535815,98.1513922183293,0.0111261600895888,2.79858901412726,98.1606122072654
250,0.25,21703,-0.0278781822195293,2.54563302287066,97.1202137953278,-0.0325909580021562,2.59540871983205,97.0879601898355,0.0360694922091841,6.19915609929216,97.1109984794729,0.0407822679917961,6.18969865908349,97.1755056904575,0.0384258801004901,6.19116353801961,97.1478597428927
250,0.4,21648,-0.110996195235081,3.25778023499298,95.9488174427199,-0.126402042806069,3.32760328168934,95.9857723577236,-0.117693035007166,3.93110652760392,96.0181079083518,-0.102287187436161,3.89155525816248,95.939578713969,-0.109990111221663,3.90216948409192,95.990391722099
500,0.1,21956,-0.0114161589128723,2.13482277218639,98.7383858626344,-0.014341062950531,2.13880863101969,98.7429404263072,0.01004229551952,5.42874100738297,98.7383858626344,0.0129671995571469,5.42832293455675,98.74749498998,0.0115047475383335,5.42834578197725,98.7383858626344
500,0.25,21923,-0.069784137742024,3.44693759362169,97.7603430187474,-0.0784952372959764,3.46157068380976,97.8880627651325,-0.0989636161089909,3.55131203804364,97.9063084431875,-0.0902525165550505,3.54010817101154,97.7694658577749,-0.0946080663320207,3.54416724147379,97.8515714090225
500,0.4,21868,-0.145389638976366,4.33722606016613,97.02304737516,-0.161973095906668,4.3698908783175,97.247119078105,-0.204762865809567,4.41444095227826,97.247119078105,-0.188179408879254,4.38701958111649,97.0321931589537,-0.19647113734441,4.39733590721733,97.1419425644778
1000,0.1,22000,-0.00596848869888411,2.96909732943182,98.7909090909091,-0.0100746613573966,2.97078444374873,98.8227272727273,-0.0249207189813343,2.97030041016063,98.8227272727273,-0.0208145463227793,2.96867699453524,98.7909090909091,-0.0228676326520568,2.96928005776557,98.7772727272727
1000,0.25,22000,-0.0188073381707464,4.7861446067752,97.85,-0.0298150979926329,4.79278315443259,97.9909090909091,-0.0673818916127632,4.79080985059993,97.9954545454545,-0.0563741317909828,4.78435408766089,97.8590909090909,-0.061878011701873,4.78675524531471,97.9136363636364
1000,0.4,22000,-0.071258502030136,6.09035425676814,97.2,-0.0911607529292138,6.10622203384186,97.4272727272727,-0.152264870364181,6.10186962882906,97.4363636363636,-0.132362619465122,6.08652233115984,97.2045454545455,-0.142313744914652,6.09238880963877,97.3454545454545
