"N","miss_rate","n_reps","mean_tr_RIV","bias_adhoc","bias_rawPool","bias_MI","bias_MR","se_MI","bias_MI_over_se","pred_vs_obs"
100,0.1,1951,0.537,0.139,0.741,1.278,0.743,0.13,9.84,1.278
100,0.25,1939,1.363,0.063,1.695,3.057,1.697,0.209,14.61,3.057
100,0.4,1946,2.228,0.409,2.958,5.186,2.961,0.263,19.7,5.186
250,0.1,1976,0.471,0.054,0.508,0.979,0.508,0.169,5.81,0.979
250,0.25,1982,1.215,0.287,1.458,2.673,1.458,0.269,9.94,2.673
250,0.4,1976,2.003,0.657,2.586,4.589,2.586,0.338,13.59,4.589
500,0.1,1998,0.464,-0.202,0.249,0.713,0.249,0.238,2.99,0.713
500,0.25,1995,1.192,-0.365,0.794,1.986,0.794,0.383,5.19,1.986
500,0.4,1991,1.959,0.168,2.073,4.032,2.073,0.478,8.44,4.032
1000,0.1,2000,0.462,0.27,0.721,1.183,0.721,0.32,3.7,1.183
1000,0.25,2000,1.185,-0.185,0.973,2.158,0.973,0.518,4.16,2.158
1000,0.4,2000,1.946,0.531,2.431,4.377,2.431,0.67,6.54,4.377
