"n","miss_rate","model","n_reps","mean_tr_mi","mean_tr_fiml","bias","sd_diff","rmse","cor","bias_pct"
100,0.1,"M1",1951,0.536774357536993,5.61396968606705,-5.07719532853006,90.5635678320255,90.6825995217773,0.120688900919734,-90.4
100,0.25,"M1",1937,1.36215971885162,17.2483782127613,-15.8862184939097,336.333644365241,336.621883598906,0.229975816709483,-92.1
100,0.4,"M1",1946,2.22847946825388,18.8917752882369,-16.663295819983,355.148933434638,355.448470174136,0.0662367779058324,-88.2
250,0.1,"M1",1976,0.471006947830606,0.677726810230379,-0.206719862399773,0.266031870863819,0.336853442245209,0.409541468223379,-30.5
250,0.25,"M1",1982,1.21456423079842,1.47411518046221,-0.259550949663786,0.409734995610932,0.484937891263302,0.405523851455976,-17.6
250,0.4,"M1",1976,2.00255185629966,2.3165762390413,-0.314024382741638,0.532136447617883,0.617767923729615,0.408698515828288,-13.6
500,0.1,"M1",1998,0.463815512617211,0.562136606932427,-0.0983210943152153,0.171006447949006,0.197219691178692,0.374483322305632,-17.5
500,0.25,"M1",1995,1.19181745860298,1.31965785761571,-0.127840399012733,0.27545180224268,0.303609668902321,0.374421563695659,-9.7
500,0.4,"M1",1991,1.95901529117309,2.12303132190378,-0.16401603073069,0.361771965505411,0.397132821705784,0.364423402669144,-7.7
1000,0.1,"M1",2000,0.461718500457592,0.512143468570916,-0.0504249681133233,0.113698989295442,0.124353021056794,0.384662911067485,-9.8
1000,0.25,"M1",2000,1.18498009191475,1.24515020705698,-0.0601701151422323,0.182784106381025,0.192389623646824,0.380078926373321,-4.8
1000,0.4,"M1",2000,1.94556922743376,2.02860727381325,-0.0830380463794865,0.243692817163011,0.257394275749866,0.332231767540296,-4.1
