"N","miss_rate","n_reps","win_AIC_adhoc","win_AICcd","win_MI_AIC_add","win_MI_AIC_sub","win_MI_AIC_nocor"
100,0.1,1921,84.5393024466424,83.9666840187402,84.0187402394586,83.237896928683,84.0187402394586
100,0.25,1907,76.6124803356057,77.6088096486628,76.9271106449921,75.930781331935,77.4514944939696
100,0.4,1916,70.5636743215031,71.3465553235908,70.9812108559499,69.9895615866388,71.5553235908142
250,0.1,1972,85.3448275862069,83.8742393509128,83.8235294117647,83.9249492900609,83.8742393509128
250,0.25,1973,80.5879371515459,79.3715154586923,79.7263051191079,80.0810947795236,79.7263051191079
250,0.4,1968,75.1016260162602,75.5081300813008,75.7113821138211,74.6443089430894,75.1016260162602
500,0.1,1996,88.7274549098196,85.6713426853707,85.5210420841683,86.9739478957916,85.6713426853707
500,0.25,1993,82.7395885599599,81.8866031108881,81.9869543401907,82.0873055694932,81.3848469643753
500,0.4,1988,79.1750503018109,79.1247484909457,78.9235412474849,77.7162977867203,78.0684104627767
1000,0.1,2000,89.15,87.45,87.45,87.45,87.45
1000,0.25,2000,83.85,82.8,82.95,83.3,83.1
1000,0.4,2000,79.9,79.9,79.95,79.65,80
