"N","miss_rate","n_reps","win_BIC_adhoc","win_MI_BIC_add","win_MI_BIC_sub","win_MI_BIC_nocor"
100,0.1,1921,92.6080166579906,92.6080166579906,92.1915668922436,92.243623112962
100,0.25,1907,87.6245411641321,88.0964866282119,87.5721027792344,88.0440482433141
100,0.4,1916,83.1941544885177,83.6638830897704,83.8726513569937,83.8204592901879
250,0.1,1972,91.3286004056795,91.7849898580122,91.2778904665314,91.8356997971602
250,0.25,1973,86.7207298530157,86.5179929042068,86.8220983274202,86.7207298530157
250,0.4,1968,83.5873983739837,84.2987804878049,83.5365853658537,83.8414634146341
500,0.1,1996,95.8917835671343,95.6913827655311,96.0921843687375,95.9919839679359
500,0.25,1993,91.4199698946312,91.4701455092825,91.6708479678876,91.7711991971902
500,0.4,1988,87.9275653923541,88.2796780684105,87.8772635814889,87.9778672032193
1000,0.1,2000,98.95,98.95,98.7,98.95
1000,0.25,2000,98.5,98.15,98.35,98.2
1000,0.4,2000,97.3,97.2,97.4,97.3
