"empri","n","miss_rate","tr_RIV_mi","tr_RIV_fiml","term1","delta","r1_mi","r1_fiml","n_reps"
"0.1",100,0.2,1.063,140.275,0.799,0.008,0.752,0.006,1939
"100",100,0.2,2.672,15.677,-14.631,0.17,-5.475,-0.933,1928
"0.1",500,0.2,1.056,1.062,-3.565,0.994,-3.375,-3.356,1995
"100",500,0.2,2.508,1.062,-75.728,2.361,-30.192,-71.278,1998
"0.1",1000,0.2,1.064,0.998,-9.622,1.067,-9.042,-9.644,2000
"100",1000,0.2,2.498,0.998,-152.795,2.504,-61.161,-153.142,2000
"0.1",100,0.4,2.168,26.743,1.511,0.081,0.697,0.056,1934
"100",100,0.4,4.855,15.863,-27.281,0.306,-5.619,-1.72,1910
"0.01",250,0.4,2.023,2.378,1.718,0.851,0.849,0.723,1989
"0.1",500,0.4,2.168,2.123,-7.705,1.021,-3.554,-3.628,1994
"100",500,0.4,4.595,2.123,-141.02,2.164,-30.693,-66.427,1992
"0.1",1000,0.4,2.184,2.028,-19.77,1.077,-9.052,-9.746,1998
"100",1000,0.4,4.578,2.029,-283.996,2.257,-62.042,-140.001,1999
