"empri","n","miss_rate","tr_RIV","T1","r_T1","empri_abs"
"0.1",100,0.2,1.063,0.799,0.752,10
"100",100,0.2,2.672,-14.631,-5.475,10000
"0.1",500,0.2,1.056,-3.565,-3.375,50
"100",500,0.2,2.508,-75.728,-30.192,50000
"0.1",1000,0.2,1.064,-9.622,-9.042,100
"100",1000,0.2,2.498,-152.795,-61.161,1e+05
"0.1",100,0.4,2.168,1.511,0.697,10
"100",100,0.4,4.855,-27.281,-5.619,10000
"0.01",250,0.4,2.023,1.718,0.849,2.5
"0.1",500,0.4,2.168,-7.705,-3.554,50
"100",500,0.4,4.595,-141.02,-30.693,50000
"0.1",1000,0.4,2.184,-19.77,-9.052,100
"100",1000,0.4,4.578,-283.996,-62.042,1e+05
