"model","df","n_reps","chi2_adhoc.bias","chi2_adhoc.rmse","chi2_MI.bias","chi2_MI.rmse","chi2_D3.bias","chi2_D3.rmse"
"M1",22,496,4.92,5.98,-0.12,3.43,2.44,4.18
"M2",23,496,5.02,6.22,-0.21,3.72,2.44,4.42
"M3",24,496,5.09,6.42,-0.34,3.95,2.41,4.59
"M4",25,496,4.43,7.53,-0.93,6.21,1.65,6.31
"M5",23,496,4.82,6.16,-0.34,3.88,2.27,4.46
"M6",21,496,4.68,5.72,-0.1,3.32,2.33,4.04
"M7",22,493,4.52,7.36,3.69,73.1,6.19,73.26
"M8",21,496,4.82,5.86,-0.07,3.38,2.4,4.12
"M9",20,496,4.57,5.6,-0.05,3.27,2.29,3.97
"M10",21,496,4.82,5.86,-0.07,3.38,2.4,4.12
"M11",25,496,4.63,7.74,-1.02,6.33,1.79,6.46
"M12",24,496,4.55,7.07,-0.76,5.53,1.86,5.72
